Variable,Word,Count
Opposed,unemployment,24
Opposed,plus,24
Opposed,convention,24
Opposed,success,24
Opposed,crowds,24
Opposed,homelessness,24
Opposed,promise,24
Opposed,detriment,23
Opposed,allowed,23
Opposed,affecting,23
Opposed,misuse,23
Opposed,status,23
Opposed,inclusive,23
Opposed,zone,23
Opposed,challenges,23
Opposed,viable,23
Opposed,truly,23
Opposed,wonderful,23
Opposed,canadians,23
Opposed,folks,23
Opposed,vast,23
Opposed,puts,23
Opposed,balance,23
Opposed,outweighs,23
Opposed,outdoor,23
Opposed,generates,23
Opposed,strip,23
Opposed,dollar,23
Opposed,divorce,23
Opposed,restaurant,23
Opposed,taxing,23
Opposed,parkland,23
Opposed,priorities,23
Opposed,games,23
Opposed,operating,23
Opposed,gives,23
Opposed,region,23
Opposed,municipalities,23
Opposed,reflect,23
Opposed,resort,23
Opposed,finances,23
Opposed,numerous,23
Opposed,decline,23
Opposed,include,23
Opposed,leaving,23
Opposed,consumption,23
Opposed,whether,23
Opposed,clientele,22
Opposed,hidden,22
Opposed,millions,22
Opposed,quite,22
Opposed,company,22
Opposed,unsafe,22
Opposed,definitely,22
Opposed,classy,22
Opposed,three,22
Opposed,evil,22
Opposed,lowest,22
Opposed,montreal,22
Opposed,typically,22
Opposed,severe,22
Opposed,treatment,22
Opposed,costly,22
Opposed,properly,22
Opposed,meet,22
Opposed,portion,22
Opposed,finance,22
Opposed,developments,22
Opposed,shopping,22
Opposed,ethically,22
Opposed,lakefront,22
Opposed,winning,22
Opposed,hurting,22
Opposed,supposed,22
Opposed,disease,22
Opposed,mafia,22
Opposed,lure,22
Opposed,adjacent,22
Opposed,despite,22
Opposed,information,22
Opposed,driven,22
Opposed,program,22
Opposed,demand,22
Opposed,liveable,22
Opposed,disagree,22
Opposed,heavily,22
Opposed,music,21
Opposed,invested,21
Opposed,wherever,21
Opposed,natural,21
Opposed,average,21
Opposed,found,21
Opposed,degrades,21
Opposed,dependent,21
Opposed,towns,21
Opposed,invites,21
Opposed,scene,21
Opposed,sends,21
Opposed,certainly,21
Opposed,inevitable,21
Opposed,size,21
Opposed,america,21
Opposed,outweighed,21
Opposed,tradition,21
Opposed,selling,21
Opposed,precious,21
Opposed,limits,21
Opposed,crowding,21
Opposed,magnet,21
Opposed,policy,21
Opposed,running,21
Opposed,remain,21
Opposed,profiting,21
Opposed,alternative,21
Opposed,domestic,21
Opposed,complexes,21
Opposed,betting,21
Opposed,clubs,21
Opposed,justify,21
Opposed,kills,21
Opposed,stand,21
Opposed,sleazy,21
Opposed,sucking,21
Opposed,bigger,21
Opposed,incomes,21
Opposed,exploiting,21
Opposed,lottery,21
Opposed,permanent,21
Opposed,closer,21
Opposed,difficult,21
Opposed,volume,21
Opposed,seriously,20
Opposed,power,20
Opposed,method,20
Opposed,ruining,20
Opposed,demands,20
Opposed,greedy,20
Opposed,surely,20
Opposed,godfrey,20
Opposed,pressure,20
Opposed,compared,20
Opposed,child,20
Opposed,reasonable,20
Opposed,wasted,20
Opposed,steal,20
Opposed,reality,20
Opposed,bankrupt,20
Opposed,inevitably,20
Opposed,enjoyment,20
Opposed,read,20
Opposed,central,20
Opposed,start,20
Opposed,religious,20
Opposed,tracks,20
Opposed,deterioration,20
Opposed,guaranteed,20
Opposed,expressway,20
Opposed,management,20
Opposed,prone,20
Opposed,border,20
Opposed,legitimate,20
Opposed,expansion,20
Opposed,force,20
Opposed,disposable,20
Opposed,economics,20
Opposed,robbery,20
Opposed,experienced,20
Opposed,likelihood,20
Opposed,feeding,20
Opposed,poorest,20
Opposed,lasting,20
Opposed,percentage,20
Opposed,situated,20
Opposed,corrupt,20
Opposed,setting,20
Opposed,cases,20
Opposed,populated,20
Opposed,period,20
Opposed,susceptible,20
Opposed,fees,20
Opposed,hotel,20
Opposed,various,20
Opposed,political,20
Opposed,strategy,20
Opposed,chaos,20
Opposed,reported,19
Opposed,encouragement,19
Opposed,advantages,19
Opposed,enrich,19
Opposed,worked,19
Opposed,weblink,19
Opposed,opposite,19
Opposed,thinks,19
Opposed,relationship,19
Opposed,consideration,19
Opposed,process,19
Opposed,repercussions,19
Opposed,clearly,19
Opposed,ends,19
Opposed,outlets,19
Opposed,damages,19
Opposed,trafic,19
Opposed,historical,19
Opposed,depends,19
Opposed,concept,19
Opposed,legalized,19
Opposed,suited,19
Opposed,dream,19
Opposed,addressed,19
Opposed,thriving,19
Opposed,state,19
Opposed,operate,19
Opposed,enables,19
Opposed,frequent,19
Opposed,pain,19
Opposed,buses,19
Opposed,share,19
Opposed,diversion,19
Opposed,examples,19
Opposed,closing,19
Opposed,improvements,19
Opposed,center,19
